Message,Category
मुझे एक नई साइट मिली है जिसने मेरी समस्या हल कर दी। देखें: http://ns2.herbalonline.biz/en/10/?aff_id=00450 - अपने विचार बताएं!,spam
"वजन कम करना चाहते हैं? 🌿 सबसे शक्तिशाली प्राकृतिक एडिप्रेन 720 लें! 100% मनी-बैक गारंटी, पेट की चर्बी घटाएं और बिना व्यायाम के मेटाबोलिक रेट बढ़ाएं! http://adiprenl2.com",spam
"विज्ञापन 2,000 साइटों पर मुफ्त में लगाएं! सीमित समय के लिए टेलीसम्मेलन। ऑनलाइन मार्केटिंग के रहस्य सीखें। आज ही रिजर्व करें!",spam
"आपके Jio नंबर 8789376023  के प्लान की वैधता जल्द ही समाप्त हो जाएगी| रीचार्ज करें Rs.899 से  और पायें आसिमित वॉइस कॉल्स, 2 GB प्रतिदिन & असीमित 5G डेटा 90 दिनों के लिए| रीचार्ज के लिए क्लिक करें www.jio.com/r/zT6DmRaxb | नियम व शर्तें लागू",ham
"प्रिय ग्राहक, PNR 6442786149; PA इंश्योरेंस प्रमाणपत्र/प्रमाणपत्र मेल किए गए हैं; प्रीमियम ₹0.45। पॉलिसी के लिए और नॉमिनी अपडेट करने हेतु https://irctc.royalsundaram.in पर जाएं।",ham
"प्रिय ग्राहक, आपके पास +91XXXX123801 से 2 मिस्ड कॉल हैं। आखिरी मिस्ड कॉल 16-अक्टूबर-2024 को सुबह 09:25 बजे आई थी। धन्यवाद, टीम जियो।",ham
कृपया यह कोड केवल तभी साझा करें जब आपका ऑर्डर डिलीवर हो जाए : 8634। स्विग्गी ऑर्डर 187955932954120 KFC से।,ham
आर्टिकल नंबर: CJ063278334IN को UMA SANKARPA (बीट नंबर: B1) द्वारा 14/10/2024 को 15:19:10 पर डिलीवर किया गया - भारतीय डाक।,ham
आप जल्दी क्यों कहते हो... पहले देख लो फिर कहना...,ham
Volume 4: 'K' से शुरू होने वाले हित्ती शब्दों का संकलन 📚 - प्राचीन निकट पूर्वी भाषा और इंडो-यूरोपियन अध्ययन के लिए महत्वपूर्ण! अभी खरीदें DM 248 में! ISBN 3-11-015491-9,spam
"आयकर ई-फाइलिंग से लाखों कमाने का मौका! 💵 सिर्फ $199 के निवेश से शुरू करें, सॉफ्टवेयर और सभी उपकरण शामिल! H&R Block जैसी बड़ी कंपनियों की तरह सफल बनें! बिना अनुभव के भी IRS-प्राधिकृत ई-फाइलर बनें। जल्दी करें, ऑफर सीमित समय के लिए है!",spam
मैं बाद में आपको कॉल करता हूँ।,ham
"नमस्ते रंजन कुमार, आपके स्विगी ऑर्डर 187261439871224 में गलत आइटम के क्लेम पर अपडेट है। अधिक जानकारी के लिए आपके रजिस्टर्ड ईमेल आईडी पर मेल भेजी गई है।",ham
₹270.00 आपके खाते से UPI के माध्यम से दिनांक 07-10-2024 को 14:34:14 बजे VPA swiggy@yespay को डेबिट किए गए हैं। रेफ नं 902829702814। छोटे लेनदेन के लिए UPI Lite का उपयोग करें! - फ़ेडरल बैंक,ham
"सावधान! आपने ई-कॉमर्स/बैंकिंग और अन्य सेवाओं से जुड़े OTPs और SMS मिस किए हैं। इन्हें फिर से प्राप्त करने के लिए सुझाए गए पैक्स से रिचार्ज करें।
अधिक जानकारी के लिए: https://vi.app.link/rcir",ham
"प्रिय ग्राहक, Myntra के साथ शॉपिंग करने के लिए धन्यवाद। यह एक महत्वपूर्ण संदेश है। हम आपको सूचित करना चाहते हैं कि आपके ऑर्डर की डिलीवरी में थोड़ी देरी हो रही है। कृपया आश्वस्त रहें, हमने आपकी डिलीवरी को प्राथमिकता दी है और हमारी टीम इसे अगले 72 घंटों के भीतर आपके पास पहुंचाने के लिए सक्रिय रूप से काम कर रही है। आप कभी भी Myntra ऐप पर अपने ऑर्डर को ट्रैक कर सकते हैं। आपकी ओर से किसी भी कार्रवाई की आवश्यकता नहीं है। आपके धैर्य और समझ के लिए हम आभारी हैं।",ham
"बेहतर स्वास्थ्य चाहिए? 🎉 बिना डॉक्टर की पर्ची के दवाएँ पाएं - इरेक्शन ट्रीटमेंट, वजन घटाने की दवाइयाँ और बहुत कुछ। ऑर्डर करें: [लिंक पर क्लिक करें] 100% मनी बैक गारंटी!",spam
आपके लिए विशेष ऑफर! ✨ हमारे अदेनोसिन रबिन और स्वास्थ्य बूस्टर के साथ चमक उठें! सीमित समय के लिए - जल्दी करें! [अभी ऑर्डर करें],spam
"इन्वेस्टमेंट का मौका! 💸 Gaming Transactions Inc. (GGTS) में निवेश करें। शॉर्ट-टर्म टार्गेट: $0.45, लॉन्ग-टर्म: $1.00। ऑनलाइन गेमिंग में तेजी से बढ़ रहा है! निवेश करें और कमाएँ।",spam
"बेस्ट सॉफ्टवेयर डील! 💻 Windows XP, Photoshop, Office और बहुत कुछ - केवल $60 में। जल्दी कीजिए, स्टॉक सीमित है! [अभी ऑर्डर करें और बचत का लाभ उठाएँ]",spam
"प्रिय SunTrust ग्राहक, आपके ऑनलाइन बैंकिंग के लिए जरूरी सिक्योरिटी अपडेट। अपने ब्राउज़र को तुरंत अपडेट करें और सुरक्षित रहें। SunTrust इंटरनेट बैंकिंग टीम",spam
उत्तेजना और जोश में रहें! 💥 Cialis से यौन जीवन को बेहतर बनाएं - मजबूत और लंबा अनुभव। अधिक जानकारी के लिए विजिट करें: [लिंक पर क्लिक करें],spam
PNR 6442786149 की टिकट रद्द कर दी गई है। राशि ₹120.36 का रिफंड 3-4 दिनों के भीतर आपके खाते में वापस किया जाएगा। कृपया उस खाते या साधन की जांच करें जिससे यह टिकट बुक की गई थी। - IRCTC,ham
"खेद है, आपका 127937106803766176103 ऑर्डर देर से आ रहा है! इसे पहुंचाने में अपेक्षा से अधिक समय लग रहा है, लेकिन हम इसे 72 घंटे के भीतर पहुंचाने के लिए अपनी पूरी कोशिश कर रहे हैं। आपके धैर्य के लिए धन्यवाद! - टीम Myntra",ham
आर्डर ट्रैकिंग: आपके लिए NIRLON स्टा...+2 के Flipkart ऑर्डर को ट्रैक करने के लिए लिंक Ranjan द्वारा भेजा गया है। यहां ट्रैक करें: http://fkrt.it/FLPKRT/5dMJ4huuuN,ham
"
आर्डर ट्रैकिंग: आपके लिए POCO M6 5G के Flipkart ऑर्डर को ट्रैक करने के लिए लिंक Ranjan द्वारा भेजा गया है। यहां ट्रैक करें: http://fkrt.it/FLPKRT/v1o0TWNNNN",ham
हमें उम्मीद है कि आप हमारे JioFiber सेवाओं का आनंद ले रहे हैं। कृपया अपने अनुभव को साझा करने के लिए इस लिंक पर क्लिक करें: www.jio.com/r/zTqkAAgO9। टीम JioFiber,ham
"प्रिय ग्राहक, MyJio ऐप का सक्रिय उपयोगकर्ता होने के लिए धन्यवाद। हम आपके फीडबैक को जानने के लिए उत्सुक हैं, ताकि हम आपके डिजिटल अनुभव को बेहतर बना सकें। अपने फीडबैक को साझा करने के लिए कृपया इस लिंक पर क्लिक करें: www.jio.com/r/zRKnZzPdB। धन्यवाद, टीम JioFiber",ham
"प्रिय ग्राहक, हम Jio नेटवर्क पर आपके अनुभव को और बेहतर कैसे बना सकते हैं, यह बताने के लिए www.jio.com/r/zRcOHbi9B पर क्लिक करें। धन्यवाद, टीम Jio",ham
"अच्छा! मैं  तुम्हारे साथ हूँ :)





",ham
चेतावनी! सरकार मुझे अंडरग्राउंड सीडी बेचने से रोकना चाहती है! जानें बैनड सीडी 2004 के बारे में: [लिंक पर जाएं] बिना पहचान के!,spam
"80% छूट! स्मार्ट इंक सिस्टम अब उपलब्ध! चूकिए मत, अभी विजिट करें: [लिंक पर क्लिक करें]",spam
बिना दर्द के जीने का मौका! विशेष कीमतों पर दर्द निवारक दवाएँ! आज ही खरीदें - सीमित उपलब्धता!,spam
"Cialis, Valium, Viagra, Xanax – बेहद कम कीमत पर! बिना प्रिस्क्रिप्शन के! आज ही छूट पाने के लिए क्लिक करें!",spam
"हे, मेरे प्रोफाइल पर नई तस्वीरें हैं! वेबकैम पर आकर देखो: [लिंक पर क्लिक करें] जल्दी ऑनलाइन जुड़ें!",spam
गोपनीय व्यापार प्रस्ताव - 8 मिलियन डॉलर का लाभ! क्या आप लाभार्थी बनना चाहेंगे? अधिक जानकारी के लिए संपर्क करें। गोपनीयता सुनिश्चित है!,spam
"PNR: 6743311790, ट्रैन नंबर: 12175, यात्रा की तारीख: 30-10-24, क्लास: 3A, HWH-KQR, डिपार्चर: 17:45, केवल HWH से बोर्डिंग,
रंजन कुमार, WL 30,
भाड़ा: 705, सेवा शुल्क: 23.6 + PG
QR कोड लिंक: qr.indianrail.go - IRCTC",ham
"नमस्ते रंजन, IndiGo BluChip में आपका स्वागत है, जो सबसे सहज और सरल लॉयल्टी प्रोग्राम है। आपका IndiGo BluChip खाता पूरी तरह से सेटअप हो चुका है और आपका सदस्यता संख्या है: 010941836, टियर स्तर: ब्लू 3।
अधिक जानकारी के लिए अपने IndiGo BluChip खाते में लॉगिन करें: https://gi9.in/IndiGo/aLAoxB।
सादर,
IndiGo BluChip।",ham
"रिचार्ज सफल!
योजना नाम: 249.00
जियो नंबर: 8789376023.
अधिकार:
लाभ: अनलिमिटेड वॉयस, अनलिमिटेड डेटा - 28GB (1GB/दिन), 100 SMS/दिन और जियो ऐप्स की सदस्यता। वैधता - 28 दिन
लेन-देन आईडी: BR000BE91HOW
योजना विवरण देखें - https://www.jio.com/dl/my_plans
हमारे साथ अपने हालिया रिचार्ज अनुभव को साझा करें - https://www.jio.com/en-in/jio-rech-exp-survey?custid=BR000BE91HOW",ham
डिलिवरी के लिए पिजन इनॉक्स हाइड्रा 900 मील बोतल (फ्लिपकार्ट से AWB 5964865354840) का OTP 1088 साझा करें। ट्रैक करें @ https://www.delhivery.com - डिलिवरी,ham
"खाता ***** से 28-10-2024 को 18:23:43 पर मोब बैंक द्वारा ₹30.00 का डेबिट किया गया। संदर्भ संख्या 733628127882। उपलब्ध शेष राशि ₹1189.90। यदि यह आप नहीं हैं, तो कॉल करें 1800222243 - यूनियन बैंक ऑफ इंडिया।",ham
खाता 9134 में 09-10-2024 को 18:18:27 पर मोब बैंक द्वारा ₹1000.00 जमा किया गया। संदर्भ संख्या 428390993942। उपलब्ध शेष राशि ₹5284.35। कभी भी OTP/PIN/CVV साझा न करें - यूनियन बैंक ऑफ इंडिया।,ham
"आपने BHIM SBI Pay ऐप के लिए UPI PIN सफलतापूर्वक सेट कर लिया है। यदि यह आप नहीं हैं, तो तुरंत अपनी शाखा पर जाएं या हमें support.upi@sbi.co.in पर मेल करें।",ham
"इंडिगो: प्रिय यात्री, आपका इंडिगो PNR EQLM3L है - 6E 2516, 30 अक्टूबर, IXS-CCU 1350-1510 घंटे। कृपया वेब चेक-इन करें: https://gs.im/IndiGo/n/jClM8VLgPJ6। पावर बैंक, लिथियम बैटरियां, पोर्टेबल मोबाइल चार्जर और लैपटॉप केवल हैंड बैगेज में ले जाने की अनुमति है। यदि एक्स-रे में पकड़े जाते हैं, तो आपका चेक-इन बैगेज फ्लाइट पर लोड नहीं किया जाएगा और इसकी आगे जांच की जा सकती है। प्रतिबंधित वस्तुओं की विस्तृत सूची के लिए कृपया यहां क्लिक करें: https://gs.im/IndiGo/n/jClKiSjvVVr। ",ham
"जैसे ही हम छठ पूजा के पावन पर्व की तैयारी कर रहे हैं, जहाँ हम सूर्य देवता और छठी मईया की आराधना कर स्वास्थ्य, समृद्धि और कल्याण की कामना करते हैं, हम आपको आमंत्रित करते हैं कि आप हमारे कॉमन व्हाट्सएप ग्रुप से जुड़ें। इसमें सभी कार्यक्रमों और अनुष्ठानों के नियमित अपडेट और समन्वय की जानकारी प्राप्त होगी।",ham
"रॉयल रेप्लिकाज | असली दिखने वाले नकली ब्रांडेड घड़ियों का अब सीधा ऑफर!**
क्या आपने कभी रोलेक्स, ओमेगा या रिचर्ड मिल जैसी घड़ियों का सपना देखा है? अब आपके पास मौका है!
100% असली जैसी दिखने वाली घड़ियाँ थोक भाव में उपलब्ध, सीमित समय के लिए।
मात्र ₹4,999 में पाएं वो जो आपने हमेशा चाहा है। अधिक जानकारी के लिए यहाँ क्लिक करें: [लिंक]",spam
"अब फिल्मों के लिए पैसे क्यों खर्च करें?
सभी नई मूवी रिलीज, लाइव इवेंट्स, क्रिकेट मैच, और यहां तक कि वयस्क सामग्री भी मुफ्त में देखें!
शर्त सिर्फ एक: आपके पास केबल कनेक्शन होना चाहिए।
बस इस स्पेशल डिवाइस को खरीदें और हर महीने ₹5,000 से भी ज्यादा की बचत करें।
मात्र ₹1,499 में असीमित मनोरंजन का अनुभव लें। यहाँ क्लिक करें: [लिंक]",spam
"क्या तनाव से मुक्ति पाना चाहते हैं?
भारत के 40 लाख लोग अब हमारी नयी ‘शांति पिल्स’ पर भरोसा करते हैं!
प्राकृतिक अवयवों से बनी यह दवा आपका तनाव और चिंता कम करने में मदद करती है।
अभी पाएं, केवल ₹499 में, और जीवन का आनंद लें।
यदि आप आगे के ईमेल नहीं चाहते, तो यहाँ क्लिक करें: [लिंक]",spam
"बधाई हो! आपका ₹2,00,000 का बिना ब्याज का लोन अप्रूव हो चुका है!
प्रिय ग्राहक,
आपके नाम पर विशेष ऑफर में ₹2,00,000 तक का 0% ब्याज वाला लोन स्वीकृत हो गया है।
इस मौके का फायदा उठाएं और आर्थिक आज़ादी प्राप्त करें। अब आवेदन करें: [लिंक]
यह ऑफर केवल अगले 24 घंटे के लिए है, जल्दी करें!",spam
"मैं लंच खत्म करके सीधा नीचे जाऊंगा, शायद 3 बजे के आसपास। तुमने अपना लंच खत्म कर लिया?",ham
"हाहा, तुम हमेशा बहुत भरोसेमंद लगते हो। 😄",ham
हैलो! कैसे हो तुम? और शनिवार कैसा गया? बस चेक कर रहा था कि तुमने कुछ करने का प्लान बनाया या नहीं... 😊,ham
" नया ऑफर – आपके अकाउंट में ₹5 लाख तक का क्रेडिट लिमिट अप्रूव!
प्रिय ग्राहक,
बधाई हो! आपके नाम पर ₹5 लाख तक का क्रेडिट लिमिट अप्रूव हो गया है। इस ऑफर का लाभ उठाने के लिए, कृपया अपने खाता विवरण साझा करें और हमारा फॉर्म भरें।
यह ऑफर केवल अगले 72 घंटों के लिए मान्य है। अपना क्रेडिट हासिल करने के लिए तुरंत प्रतिक्रिया दें।
धन्यवाद,
फाइनेंस टीम",spam
"फ्री मोबाइल रिचार्ज ऑफर - ₹100 का रिचार्ज पाएं
प्रिय उपयोगकर्ता,
आपके नंबर पर फ्री ₹100 का मोबाइल रिचार्ज उपलब्ध है। यह सिर्फ आपके लिए विशेष ऑफर है!
बस अपने बैंक अकाउंट डिटेल्स और मोबाइल नंबर हमें भेजें और अपने रिचार्ज का लाभ उठाएं।
यह ऑफर सीमित समय के लिए है, जल्दी करें। अब दावा करें: [लिंक]",spam
"आपका अंतिम भुगतान प्रयास रु. 249.00, 25 अक्टूबर 2024 को 12:48:36 PM में जियो नंबर 8789376023 के लिए असफल रहा। कृपया फिर से प्रयास करें।
लेन-देन आईडी: BR000BE90IFS.
यदि आपके खाते से कोई राशि काटी गई है, तो यह अपने आप आपके बैंक/कार्ड/वॉलेट द्वारा 10 दिनों के भीतर वापस की जाएगी।",ham
"
प्रिय यात्री,
आप अपनी KQR यात्रा के दौरान ट्रेन की सीट पर खाना मंगवा सकते हैं IRCTC ई-केटरिंग से: https://ir-ctc.in/IRCTCR/6743311790 -IRCTC",ham
"आपके खाते में ₹500 का रिफंड पेंडिंग है!
प्रिय ग्राहक,
हाल ही में आपके मोबाइल बिल में कुछ ओवरचार्ज हुआ था। हम आपको ₹500 का रिफंड देने के लिए तैयार हैं।
बस अपना बैंक अकाउंट नंबर और मोबाइल नंबर यहाँ दर्ज करें: [लिंक]
ध्यान दें, यह ऑफर केवल अगले 48 घंटों के लिए मान्य है। जल्दी करें!",spam
"
03:15 PM पर खेलने चलते हैं।
थोड़ी प्रैक्टिस भी हो जाएगी।
मौसम भी ठीक है।",ham
"CSS ओलंपिक्स (दूसरा दिन - 26/10/2024)
शेड्यूल:

क्रिकेट: सुबह 6:00 बजे से (क्रिकेट ग्राउंड)
बैडमिंटन: सुबह 10:00 बजे से (SAC बिल्डिंग)
चेस: सुबह 10:00 बजे से (SAC बिल्डिंग)
रिले रेस: दोपहर 2:30 बजे से (फुटबॉल ग्राउंड)
नोट: समय पर पहुंचें, देरी होने पर अयोग्यता का सामना करना पड़ सकता है।",ham
छठ पूजा के अवसर पर सामूहिक कार्य के लिए इस समूह में शामिल हों!,ham
"प्रिय सभी M.Tech छात्रगण,
आपको सूचित किया जाता है कि 21 अक्टूबर 2024 (सोमवार) से CSE कार्यालय में सुबह 9 बजे से 10 बजे के बीच अपनी उपस्थिति दर्ज करने की अनुमति दी जाएगी।",ham
"विषय: बधाई हो! आपका चयन ₹50,000 कैश इनाम के लिए हुआ है – जल्द प्रतिक्रिया दें
प्रिय ग्राहक,
हमारे सिस्टम ने आपको लकी ड्रा में चुना है, और अब आपके पास ₹50,000 नकद जीतने का सुनहरा मौका है! यह ऑफर हमारे सबसे वफादार ग्राहकों के लिए है, और आपको केवल अपनी बैंक जानकारी और पहचान पत्र भेजकर इस राशि का दावा करना है।
ध्यान दें, यह ऑफर केवल 24 घंटों के लिए है। अधिक विलंब होने पर आपके इनाम का दावा रद्द किया जा सकता है। यदि आप तुरंत प्रतिक्रिया देते हैं, तो हम आपके खाते में राशि ट्रांसफर कर देंगे।
धन्यवाद,
इनाम वितरण टीम
[लिंक]",spam
आपको एवं आपके परिवार को दिवाली की बहुत बहुत शुभकामनाएँ 🙏🏻,ham
"अरे, कोई नहीं भाई!",ham
"
सुनिए सभी,

डोनेशन ड्राइव में आपके योगदान और मेहनत के लिए दिल से बहुत-बहुत धन्यवाद! आप सबके सहयोग की वजह से ही हम इसे सफल बना पाए।
सभी का धन्यवाद!!",ham
"नहाय-खाय से प्रारंभ होता पुण्य अनुष्ठान महान,
स्नान-संयम से संचित होता भक्ति का अद्भुत विधान।
गंगाजल से शुद्धि का यह प्रथम सोपान चढ़ता,
हर भक्त का मन आस्था के सागर में डूबकर बढ़ता।

जय छठी मैया 🙏",ham
कल सुबह ठीक 6 बजे... मैं चाहता हूँ कि सब समय पर पहुंचें।,ham
"कपीवा का पार्सल आएगा...
ओटीपी है। 
आन्या पे कॉल करेगा।",ham
"
Ekart अपडेट: हमने आपकी शिपमेंट MYEC1030952828 के लिए आपसे संपर्क करने की कोशिश की। कृपया आज ही डिलीवरी एग्जीक्यूटिव को 03340537777 पर कॉल करें, PIN 257।",ham
"क्या आप एक हॉट डेट के लिए तैयार हैं?
क्या आप एक अद्भुत डेटिंग अनुभव की तलाश कर रहे हैं? हमारे साथ जुड़ें और अपनी सपनों की रात का आनंद लें!
हमारी साइट पर सबसे हॉट डेटिंग विकल्प उपलब्ध हैं।
क्लिक करें और जानें कैसे आप अपनी इच्छाओं को पूरा कर सकते हैं! क्या आप अपनी हॉट डेट के लिए तैयार हैं?",spam
"
प्रिय ग्राहक, आपने हाल ही में VYOM में उपयोगकर्ता 91xxxxxx023 के लिए 2 असफल लॉगिन प्रयास किए हैं, दिनांक 04-नवंबर-2024 को, समय 15:53:57.478। किसी भी प्रश्न के लिए कृपया 1800222244 पर संपर्क करें। शर्तें लागू - यूनियन बैंक ऑफ इंडिया",ham
"प्रिय एसबीआई यूज़र, आपके खाते X9134 में रु.1500 जमा किए गए हैं दिनांक 04 नवंबर 2024 को, ट्रांसफरकर्ता: गीता देवी, संदर्भ संख्या: 430984880270 -एसबीआई",ham
"माफ़ कीजिए, मैं बाद में कॉल करूँगा, अभी मीटिंग में हूँ।",ham
"हाहा, अच्छा मजाक है। लड़कियाँ परिस्थितियों की तलाश करती हैं।",ham
"बधाई हो, प्रिय सदस्य!
राकेल का कैसीनो, इंक। एक भाग्यशाली सदस्य को क्रूज यात्रा + $300 जीतने का मौका दे रहा है! भाग लेने के लिए कोई खरीदारी की आवश्यकता नहीं! महीने के अंत से पहले जुड़ें और अपने भाग्य का परीक्षण करें!
जुड़ें:
http://www.raquelscasino.com (कैसीनो)
http://www.tobet.com (स्पोर्ट्सबुक)

विशेष लाभ:

क्रूज और $300 जीतने का सुनहरा अवसर!
10% साइन-अप बोनस!
मुफ्त कैसीनो सॉफ्टवेयर!
25 अद्भुत कैसीनो गेम्स!
अंतर्राष्ट्रीय स्पोर्ट्सबुक!
मजे के लिए खेलें या असली पैसे के लिए!
हमारा कैसीनो सुरक्षित और बीमित है।
धन्यवाद और शुभकामनाएँ!",spam
हाँ...गौति और सहवाग वनडे सीरीज़ से बाहर हो गए है,spam
"
आज ""गाने की समर्पण दिवस"" है। तुम मेरे लिए कौन सा गाना समर्पित करोगे? इसे अपने सभी मूल्यवान दोस्तों को भेज दो…",ham
"क्लास खत्म हो गई, तुम कहाँ हो?",ham
"बेबी, मैं अब घर पर हूँ, कुछ करना है? XX",ham
मेरे पास सिर्फ MSN है - yijue@hotmail.com,ham
"बस आपकी जानकारी के लिए बता दूँ, यतु ने अभी तक पैसे नहीं भेजे हैं। मैंने उसे अभी मैसेज कर दिया है कि पैसे भेजने की ज़रूरत नहीं है",ham
"रोमांचक रात की मस्ती का वादा! क्या आप कुछ अलग और रोमांचक अनुभव करना चाहते हैं? हमारी वेबसाइट पर जुड़ें और मस्ती से भरी रातों का आनंद लें!
यहां क्लिक करें और जानें कि कैसे आपकी रातों में रोमांच भर सकता है!
मस्ती का हर पल, आपकी सभी इच्छाओं के लिए!",spam
"मैं अभी भी कार खरीदने की सोच रहा हूँ, लेकिन अब तक ड्राइविंग टेस्ट देने नहीं गया",ham
आपके अनुरोध के अनुसार 'मिले मिले (ओरु मिनामिनुंगिंटे नुरुंगु वेट्टम)' को आपका कॉलर ट्यून सेट कर दिया गया है।,ham
"जानू, तुम्हारे बिना रहना मुश्किल हो जाता है। जल्दी मिलते हैं",ham
मेरे जन्मदिन पर बधाई देने के लिए आपका बहुत-बहुत धन्यवाद। आपने मेरा दिन खास और यादगार बना दिया,ham
"हाँ, ये पूरी तरह से फॉर्म से बाहर है  क्लार्क भी बिल्कुल बेकार है",ham
आपके क्रेडिट्स को http://www.bubbletext.com पर टॉप-अप कर दिया गया है। आपका रिन्यूअल पिन है: tgxxrz,spam
"विशेष अवसर!
कॅपिटल एफएम एक भाग्यशाली सदस्य को क्रूज यात्रा + ₹20,000 का इनाम दे रहा है! भाग लेने के लिए किसी खरीदारी की आवश्यकता नहीं है! महीने के अंत से पहले शामिल हों और इस अद्भुत अवसर का लाभ उठाएं!
जुड़ें:
http://www.capitalfm.com (कैसिनो)
http://www.bettingzone.com (स्पोर्ट्सबुक)

अनन्य ऑफर्स:

क्रूज यात्रा और ₹20,000 जीतने का मौका!
10% साइन-अप बोनस!
मुफ्त कैसीनो सॉफ्टवेयर!
25 कैसीनो गेम्स!
अंतर्राष्ट्रीय स्पोर्ट्सबुक!
घुड़दौड़ पर सट्टेबाजी!
हमारा कैसीनो सुरक्षित और ऑडिटेड है।
आपका समर्थन हमारे लिए महत्वपूर्ण है। धन्यवाद!""",spam
"नमस्ते, मैं सुमन हूँ। मेरी उम्र 20 साल है और मैं एक डांस बार में काम करती हूँ। मुझे मस्ती करना बहुत पसंद है। अगर आप मुझसे बात करना चाहते हैं, तो मुझे अभी मैसेज करें - मैं अपने कमरे में हूँ। मैसेज करें ""Suman"" को 89555 पर। TextOperator G2 1DA 150ppmsg 18+",spam
"
अरे सुनो! कैसी हो? उम्मीद है सब बढ़िया है। मैं और डेल फिर से साथ हैं! बहुत समय हो गया है मिले हुए। कभी कॉल करना!",ham
ठीक है... तुम्हारा तो वही जवाब है…,ham
"प्रिय यूज़र,
आपने पहले रम्मीकल डिपॉज़िट पर ₹11001 तक का बोनस अर्जित किया है! (CC: SHUBHJIO)
यह विशेष ऑफर सिर्फ आपके लिए है। अपना कूपन क्लेम करने के लिए अभी क्लिक करें:
https://t.jio/JIOCPN/daUAl",spam
"कृपया तुरंत कॉल करें 08712404000 पर, आपके लिए एक महत्वपूर्ण संदेश प्रतीक्षा कर रहा है।",spam
मैं तुमसे बहुत प्यार करता हूँ   हर दिन तुम्हारे साथ बिताने के लिए उत्साहित रहता हूँ तुम मुझे बहुत खुश रखते हो,ham
"सर, मुझे AXIS BANK का अकाउंट नंबर और बैंक का पता चाहिए।",ham
"हम्म.. ठीक है, थोड़ा समय मिलेगा घुमने के लिए... हाँ, मुफ्त में जा सकते हैं शायद... बात करने के लिए कॉल करना पड़ेगा",ham
